"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.510889890220178 0.536061627773914 0.521781402329248 0.542412228856732 0.548766430534536 0.561553094349614 0.582397731974325 0.569949813459905 0.54438739742885 0.618527086818534 0.554599164656095 0.546587323662788 0.44376856542804 0.307607529909335 0.416272086870577 0.366791467828868 0.336644380346011 0.331686585545574 0.358739115908401 0.470927313171393 0.384590498098589 0.314338319761127 0.190897696650127 0.356957878747954 0.45803591064253 0.373779683797757 0.486933931692232 0.436888448359003 0.453251302365504 0.406768471295356 0.398925622180931 0.564191773029612 0.446551629457064 0.530300284188692 0.380075955037584 0.408695511670282 0.492857311739573 0.446210804128035 0.457549592958744 0.380482706390501 0.37700164058273 0.334323150665231 0.295604080433504 0.47307760588991 0.448359980624009 0.437598015256465 0.465060905611092 0.477862073557713 0.450073080217746 0.429723120487871 0.439350496767437 0.466485006303556 0.445045337228097 0.444447960661097 0.454947878741578 0.471690737487936 0.460608500527542 0.415762399428584 0.41149762692537 0.393041783508631 0.440742817791098 0.442726596554662 0.486437868318937 0.510354676536813 0.525047460098362 0.478287307556324 0.404662582530002 0.48615389453122 0.520820263815524 0.437939129057291 0.302595489502924 0.268942582969853 0.47423949193585 0.387339077920352 0.442923499318472 0.466737588977279 0.581001519731849 0.473740247247527 0.46425677701845 0.495007935382002 0.45406535445089 0.521724257936811 0.473546391544262 0.506037891083725 0.425912534570073 0.528846410967985 0.4061112014957 0.421505730516367 0.48373505830407 0.498185404776802 0.411980519933752 0.552561639088317 0.361666774548097 0.360868450551795 0.348647684367613 0.447140178013226 0.499618859655136 0.356518169135842 0.445600787649101 0.463520933548793 0.41355264095367 0.45127542506242 0.462005397758925 0.439313227862398 0.423058933369523 0.419070610411983 0.440891200293404 0.441054403730748 0.448639519803354 0.411393090118176 0.467906368830999 0.425782663735629 0.439595597533657 0.416088108075902 0.374208438220311 0.454746362749974 0.39594776129429 0.414305029680759 0.476427772204739 0.440191803690677 0.390178001131931 0.371191259770209 0.496052487843991 0.503531589101946 0.46848925898425 0.414983549025108
"bhagavatapurana_skandha-01_u" 0.510889890220178 0 0.330375933026733 0.283720968905237 0.237289031673666 0.368100286252164 0.31943221573395 0.319025669447865 0.312750578909005 0.34366667861614 0.532640155590975 0.270804656048845 0.341415569291968 0.312571344434945 0.444205361221646 0.59244336556059 0.497804364049549 0.500267038950009 0.51791936710868 0.44655321791864 0.47004172111154 0.40631468544958 0.488519208840266 0.509419036664413 0.444233449797395 0.559905744647306 0.467005771374828 0.431290219984674 0.495152683289711 0.558733402517893 0.454326076596255 0.43706207119734 0.548198517596527 0.565245195543332 0.652154420066101 0.555564669677192 0.536691304599457 0.605781332445885 0.574055847043272 0.579437561863129 0.440116798760717 0.479299829106409 0.540011790460237 0.526723339454604 0.438085175987214 0.542859842083627 0.420815553807763 0.416596240294373 0.399172813391807 0.416952256734646 0.46097355950945 0.459894894157594 0.450285301399753 0.428000877942686 0.499174809857227 0.448792899482565 0.398065213095993 0.494672895802418 0.419635881939477 0.44985207516459 0.507169477835603 0.545502374968714 0.447307204827424 0.486509379032153 0.555847901314497 0.554536529172285 0.500274863559225 0.424276318381016 0.492926526983491 0.472903075124291 0.425539897918609 0.468962482846481 0.445632821470828 0.403527752332887 0.566514949343466 0.4064091712892 0.386825842625471 0.545467776736404 0.483577746351443 0.448293503414313 0.432833068902136 0.457503489510984 0.455986449303611 0.432940149727237 0.440978851073127 0.407335840559182 0.525197531848929 0.494287363468796 0.411897363193985 0.508055587674419 0.42042683572902 0.453577923151828 0.420520940966376 0.448151631608523 0.444696791072267 0.478694903232079 0.496773512694838 0.394477919020626 0.448396046163407 0.531745250454446 0.501364515234636 0.474872391272368 0.454389359424736 0.477734935847892 0.462535312304211 0.589515170060693 0.591709109970127 0.593806229348252 0.55558245760757 0.644751066540353 0.60448286693452 0.643468387543087 0.585290588245641 0.578594487238688 0.585930421434705 0.472436282371441 0.429684025703874 0.563450467286621 0.444211514486846 0.447540222164745 0.457374844780898 0.44709301625377 0.511610845537508 0.550669267145796 0.410095251417022 0.428083119730473 0.412291449412474
"bhagavatapurana_skandha-02_u" 0.536061627773914 0.330375933026733 0 0.324868719143136 0.343369215198189 0.38482923770857 0.375466712301617 0.370013931852143 0.409765299633468 0.395615251894789 0.527907211650366 0.380855859101228 0.315182240625718 0.381958829722357 0.479538610187596 0.618946225148835 0.552505573441796 0.524823930847227 0.559815066094681 0.508848206911779 0.467481406225114 0.452931930398086 0.505711505051708 0.51752870013997 0.445950903369021 0.562824534814267 0.543886940560366 0.512231878233787 0.573864631885737 0.635979691279748 0.543743413842073 0.499405426818194 0.531551306495498 0.6208111156086 0.682809233331371 0.597140374058206 0.578552717729155 0.629479785404872 0.607510755138137 0.623093805660292 0.500009590993613 0.487518186364884 0.572967664092105 0.553503641176373 0.512551186396887 0.614053911262233 0.50738425867396 0.501308964452823 0.494941543781278 0.486001009184684 0.552755160875963 0.558243610010816 0.540236013165136 0.542936437066693 0.596540254163154 0.505493764235592 0.500789693840415 0.517041581657239 0.48677298520298 0.498787829536158 0.514651976580544 0.56562538159393 0.512091033630248 0.554345386182703 0.599801910994152 0.583059900801221 0.537003600975487 0.473798312119067 0.568128391521563 0.502253670959192 0.476327729350319 0.522588003182974 0.460313580686229 0.403784293859733 0.628947892020434 0.471254951738837 0.460216886119137 0.551210258600389 0.544126974815488 0.512040240851934 0.504845592159865 0.526361579125596 0.526042230843308 0.542282128954777 0.539961345639551 0.420583838932617 0.536161283329434 0.51190880611265 0.471991060740752 0.546438707158624 0.486606833835698 0.501906295514796 0.48905632105641 0.472431677785033 0.486307369938143 0.501645613113267 0.580822167820341 0.407021633181246 0.497685453709036 0.526152889010282 0.569580138962086 0.529178187302385 0.546689636314067 0.504813117034821 0.532920515140542 0.624241212717269 0.614048499390869 0.589415279556125 0.581794096067574 0.652100986205362 0.635536196352525 0.664660115998464 0.609405720062195 0.629846480518495 0.608645622764733 0.497447152856423 0.477763341293074 0.60270422983882 0.45676965930013 0.51289000853158 0.505107782985329 0.487893618051062 0.50308794596226 0.57548890639687 0.490118010415108 0.448953553009589 0.468609927357963
"bhagavatapurana_skandha-03_u" 0.521781402329248 0.283720968905237 0.324868719143136 0 0.229069575124378 0.35485235527725 0.330910679148058 0.332053514038027 0.338797163851451 0.342269740004401 0.519803701118149 0.283202591783788 0.357135505655627 0.345390581301509 0.436128321286864 0.582747381463102 0.482786266430261 0.502656541747785 0.502719565493743 0.469390078992171 0.488945700929171 0.43755799931273 0.465995592141458 0.508282563937612 0.462731349395009 0.57178066575164 0.471440141913846 0.468001686030572 0.525165448522114 0.57868391894116 0.45635575438081 0.448904602027967 0.552908750109753 0.566830144269232 0.643341316005615 0.543454781547478 0.52118694733911 0.586283027303853 0.5812315939283 0.547608445471501 0.445490278356408 0.49419480719293 0.535110204188522 0.53453841129179 0.48128729506115 0.539647500877245 0.47159931155521 0.460782354984692 0.456990621935633 0.446865932919789 0.505739595763101 0.494769425937518 0.492010900633957 0.477149257857089 0.537717124774815 0.476337863544736 0.462278576031282 0.52872400138176 0.449631587251274 0.468588702909325 0.508696281515012 0.578173286402971 0.481089832838966 0.520774535087146 0.570864879793268 0.569795771236969 0.518236591931508 0.454469114692868 0.502840255889957 0.482615885651502 0.445494321767049 0.481067539322809 0.444447154851052 0.406055045787683 0.589835163042282 0.403449045669041 0.411772946662868 0.532566930300434 0.49160962950086 0.4742569728654 0.467766610199286 0.501378076636382 0.515913360417807 0.475084445289328 0.480736921641248 0.410585013522833 0.540936485573227 0.538063492254722 0.418387447262788 0.559672222838991 0.426790199550231 0.465352731059402 0.446101585584086 0.437926930495135 0.474793598938091 0.50427178527839 0.531055283794855 0.411361551115781 0.474813637425462 0.549884247071247 0.512443308221478 0.507115218844131 0.473245601534124 0.467462146456017 0.460289265252939 0.579821683505006 0.570733513720864 0.595686666839826 0.549393137374557 0.651482652300989 0.605506738920691 0.637339897933317 0.583134684478524 0.57351358891712 0.577049150152235 0.476535286543722 0.466604869382771 0.557259010823227 0.428804853324181 0.490226961054734 0.446563676600023 0.482164290711249 0.513402857035533 0.55103332148431 0.427594867063164 0.45236468569193 0.437003451614912
"bhagavatapurana_skandha-04_u" 0.542412228856732 0.237289031673666 0.343369215198189 0.229069575124378 0 0.336295015365095 0.321070550218784 0.304806692565077 0.306233277108939 0.325309640308725 0.50199230201011 0.259501391299432 0.343666731357257 0.368790315817208 0.45414285155435 0.605164009344819 0.497182107987089 0.515652183990085 0.526545750034744 0.459663221978745 0.481177057182515 0.432647892464226 0.482790203547761 0.534771778589296 0.453102921367221 0.561190988178013 0.477369561589203 0.471497611117906 0.530984409472565 0.569873357137542 0.456255770117224 0.467428637721988 0.547922410920803 0.559435623818055 0.659965537925358 0.554553678506414 0.558540580775027 0.612582163862875 0.579100204307996 0.571676294501908 0.449241803813003 0.506841809209239 0.551810508008437 0.544873766770344 0.477152905215516 0.553477129679938 0.455643760841428 0.449505446470186 0.446962328040617 0.442103721203354 0.490218547708033 0.486721250851838 0.469855083582551 0.467418403096276 0.529545406170207 0.461929040816874 0.427878540365247 0.519464419358914 0.441144767761533 0.468751706408777 0.507040336511209 0.56966916129739 0.485528584651707 0.522336807544496 0.582876135264752 0.582972413468057 0.514658682885467 0.458269659688712 0.52110253378405 0.487299308361073 0.449691964626221 0.492715404163244 0.451311034497802 0.39390903507255 0.58353986520464 0.422672386422875 0.41312615686106 0.535393197638915 0.484276343755467 0.462634767923224 0.438648846753808 0.465302803488985 0.469117173849559 0.437264496781185 0.458972211637785 0.408247424436824 0.514326804951464 0.487968314228205 0.405972842923648 0.544926790891149 0.446058244174833 0.467278639455697 0.455238482089012 0.43843507121802 0.457887808562473 0.501321794842174 0.529658044078446 0.378620779070963 0.482428422787127 0.534668121016668 0.524838673768689 0.491017856927529 0.466191925805045 0.479567904073887 0.461565237732377 0.591507467452782 0.607647755661891 0.599876749417925 0.573026564391912 0.648684501468707 0.623168894101625 0.651284278080257 0.58848133274712 0.577701107875286 0.592506916909054 0.485769249473439 0.466244094993463 0.568821254447187 0.428114094411162 0.520828794886221 0.467691384348993 0.492465910266011 0.51688040874234 0.56296673916266 0.455514489270468 0.458209255425404 0.439364792711406
"bhagavatapurana_skandha-05_u" 0.548766430534536 0.368100286252164 0.38482923770857 0.35485235527725 0.336295015365095 0 0.349113742098712 0.369572925049587 0.432911116809939 0.373806388958265 0.466511032185728 0.349564416273695 0.370342645710719 0.336746711154913 0.419200872920185 0.587591365546225 0.500515063828209 0.477769277910118 0.506867482019027 0.490391597507779 0.464459475585628 0.459297878174834 0.471465521450707 0.49462006990384 0.448666380670712 0.535613889025631 0.520704147519881 0.470564108009173 0.573300937767586 0.614183986640571 0.507413148819953 0.466417383495814 0.5140222980844 0.577154437144006 0.656386933673945 0.557045317906143 0.586209822333559 0.603600094910922 0.573595810530618 0.601546890663806 0.471646748327038 0.499794402941167 0.518805112034664 0.486819224994781 0.516019583299253 0.595569369076464 0.513323714041893 0.497760230207166 0.518262065568226 0.488983872146525 0.549002495451711 0.513251926033054 0.548863251014799 0.541267943064093 0.568674330304427 0.528555429967832 0.487027541745816 0.498128842028237 0.476955815789383 0.509249681909239 0.534901351456275 0.587846174446986 0.512834385880494 0.54337456065072 0.591718786736971 0.609950644087875 0.557579684041258 0.459514027346882 0.537434191138025 0.515989514809229 0.462519932869607 0.487297347119738 0.429759910515964 0.474668004797645 0.603918131863302 0.438669562902335 0.416462616651977 0.483834010118344 0.545970304942715 0.527947476310564 0.52989865809728 0.554418340074803 0.556656511913931 0.546040751899032 0.537719931598121 0.377421079128885 0.566924649887869 0.532929803062163 0.43556400034519 0.594917233417436 0.451975581507835 0.456342330012387 0.465122297992608 0.4381588925956 0.439492929686013 0.433118522586915 0.572911326921807 0.374064922508201 0.494386228177167 0.50050212933577 0.552126920506336 0.527584435387275 0.517254676548518 0.514424923009283 0.501402374542209 0.588115918453184 0.606390212763944 0.552641183908118 0.547954796625615 0.624625878873557 0.61026709004922 0.630287833876387 0.553320946217331 0.580536208239986 0.582511507413435 0.506604680339652 0.472179339566522 0.556587405602399 0.501838752133516 0.50282772808116 0.503605082009687 0.468210055924938 0.501868621773285 0.517200753853127 0.470855985838112 0.465239279359757 0.433749596152751
"bhagavatapurana_skandha-06_u" 0.561553094349614 0.31943221573395 0.375466712301617 0.330910679148058 0.321070550218784 0.349113742098712 0 0.219889073619456 0.266689621787516 0.33566233159377 0.521696902510323 0.278895808984665 0.25973507611619 0.34018404636396 0.444088470077555 0.582605218530149 0.475289225819985 0.491611578831609 0.495319113258412 0.452988822746307 0.44549581760431 0.412306703181424 0.499575270197633 0.507816554541059 0.38841569336664 0.519407536545723 0.480765036857025 0.461137588787626 0.528402803025253 0.595888902823638 0.473794973753499 0.454162602562159 0.524433182030192 0.55707921015078 0.639514762131817 0.548395364953393 0.554067674676988 0.596451031768048 0.582429976915554 0.55641537246906 0.461293509443641 0.463550185554329 0.522310515441868 0.537175352130863 0.421088749984846 0.560152653921033 0.395994955561117 0.400830686848517 0.403183177172464 0.383597982019354 0.508565351789729 0.473671579943589 0.49552934506623 0.494731102337627 0.530595344048811 0.44089788214766 0.417994394021108 0.470455756014073 0.37810880514899 0.407220004670785 0.501271216488638 0.521508897108564 0.435201147433919 0.486290037540219 0.548358724307058 0.523708088080037 0.497730559784121 0.428964869139695 0.48654452733695 0.446720804693655 0.413431804824298 0.474820098875797 0.46929948061302 0.38856706884242 0.567666044121144 0.405731187884524 0.395811258895817 0.575341697212376 0.467417186325723 0.459290340627659 0.486757069244995 0.467757444326243 0.486915827237237 0.485218262295794 0.456150800187287 0.375631512573746 0.541314941842571 0.526458387157935 0.435937069568516 0.509811155583326 0.414073147286516 0.472631118768728 0.4027384808672 0.438223657154563 0.455751497529396 0.49179243064869 0.534333413774009 0.381943303290544 0.449548794365248 0.515796074054581 0.507522900235335 0.507508381750589 0.462005452334705 0.466756833564025 0.455882571339165 0.570393956583572 0.577563843225972 0.546933794717076 0.530312108268308 0.644412525096031 0.592550090421472 0.625192651601029 0.576973385074031 0.566247936645081 0.563535729604589 0.494523122912967 0.38356123773931 0.548503267076662 0.432701167370688 0.459119729777543 0.398317625212892 0.45255581461569 0.478132145512359 0.545116181309467 0.377752699512182 0.398842627234564 0.380428847854065
"bhagavatapurana_skandha-07_u" 0.582397731974325 0.319025669447865 0.370013931852143 0.332053514038027 0.304806692565077 0.369572925049587 0.219889073619456 0 0.255879459181133 0.331161754721473 0.518985625179841 0.246213377456504 0.262531519448846 0.370600071065221 0.493071740337534 0.626774187712348 0.540956891197655 0.530499559482869 0.554137023865087 0.513160944089505 0.470326286461839 0.44325275616045 0.524207545099834 0.545914993805197 0.441308127375843 0.542372529361164 0.529157654141557 0.495735438039766 0.595031283218777 0.634374482350577 0.536088002404209 0.512715958118921 0.526980053943712 0.612171568811367 0.687598819635102 0.604252952440315 0.588510483886971 0.64689264257025 0.621023917554904 0.615748003358358 0.510899509779682 0.519029915545373 0.566648121562824 0.551691829518599 0.482924425440035 0.618482862779803 0.455887900103721 0.473371623824635 0.463969518290781 0.452457341207802 0.559389267662231 0.517119506601967 0.546326403276679 0.545804770107918 0.599227589747845 0.492269178188077 0.458385081064228 0.53776552816108 0.434507002106403 0.463673673193945 0.532281836084185 0.571837790740168 0.489501232512667 0.546738192928367 0.613685659558508 0.557244649638096 0.534677075741857 0.480699628178948 0.534721119763283 0.511815184705072 0.475277981772321 0.529931579256164 0.5060286019813 0.431064869409221 0.606967461190836 0.46020215573919 0.446360526244842 0.559542072354079 0.544557956674772 0.502481330600808 0.514853185320898 0.519123798083035 0.528281437300078 0.53064165881531 0.526779844978066 0.426085451333763 0.596832728378105 0.542239488961207 0.481545027609828 0.562589358421596 0.46376300752563 0.517402869690841 0.453621200804252 0.472164313209792 0.510806406004987 0.507125363037929 0.539977115844908 0.43011221871729 0.497235180525192 0.534067006725052 0.55176541816959 0.543602898520961 0.527852505373858 0.521315485836306 0.524870295253239 0.625600371481412 0.630527864148399 0.603411608599736 0.589497056900569 0.671607824731944 0.645613554218321 0.669448573308691 0.606635024592788 0.619823576023963 0.62747542847921 0.522351881813547 0.438512122622686 0.60341962757748 0.47233683948506 0.492152353890981 0.444572661246245 0.50286330895068 0.514643975993778 0.5802436191502 0.423305042147874 0.45122524725439 0.43105897946317
"bhagavatapurana_skandha-08_u" 0.569949813459905 0.312750578909005 0.409765299633468 0.338797163851451 0.306233277108939 0.432911116809939 0.266689621787516 0.255879459181133 0 0.312010053028983 0.555314893561564 0.239308367011786 0.340642117795183 0.369243510646454 0.442270906727989 0.600293621041676 0.481822192108046 0.488850798609921 0.51455491801982 0.431648009138808 0.462979357539572 0.391560201428105 0.484250640939736 0.530300795009482 0.425237365864368 0.550560063318769 0.45903727247724 0.45279518049485 0.524512397038982 0.555513828331902 0.443467410892286 0.457218104712137 0.516359344465298 0.550441363481891 0.653844449546791 0.546269659691241 0.550443075120724 0.613426007145947 0.575785986897178 0.556728616501247 0.418657031129637 0.512356080502674 0.530076265230726 0.534129120152549 0.403235327263452 0.528483493102454 0.418631373007186 0.389841749816979 0.422622844266886 0.443388426872767 0.48171068688634 0.443092429063308 0.477397839536988 0.485361084152586 0.526094861154682 0.436780348616797 0.434302000479982 0.524268646288868 0.435071752624737 0.433965568496505 0.51933311406488 0.581365074324976 0.434309818219126 0.482214029406998 0.555303270253528 0.551542732050764 0.488776095716413 0.43368688666509 0.460943564745408 0.424986334854064 0.403076840147501 0.485576554709749 0.484753575138111 0.435132560723104 0.544439270894302 0.37539745958046 0.360781762158409 0.563207125972063 0.463116478062911 0.458924340157508 0.44280472619399 0.472506830761135 0.488601456475508 0.44932944871387 0.44306430914552 0.374153714488994 0.555730655199124 0.515465351083858 0.417566614793066 0.490066303330251 0.394643525047558 0.444569984184018 0.377558685929348 0.436068505493899 0.467662237833336 0.519062726773519 0.501800576069983 0.397827412526907 0.426083017070697 0.539965635054575 0.468910273238014 0.503224913218363 0.455451274468814 0.424908389117733 0.444278601083721 0.590449215040015 0.604077585488597 0.60198033510414 0.554238722678058 0.644647790038866 0.620149473168467 0.64280566669505 0.589648375407224 0.564037493989279 0.599164195544771 0.50914140845464 0.366039892369439 0.564241292206739 0.46363370368019 0.444518890363871 0.348832398387628 0.474656860431439 0.518859465172207 0.557821687365402 0.323916488468125 0.386266805060805 0.375166283418442
"bhagavatapurana_skandha-09_u" 0.54438739742885 0.34366667861614 0.395615251894789 0.342269740004401 0.325309640308725 0.373806388958265 0.33566233159377 0.331161754721473 0.312010053028983 0 0.550728030380762 0.277609425199165 0.397575460140608 0.294747480933064 0.415199475945364 0.571713280927835 0.455684828323334 0.479469834705974 0.486848071584241 0.435847840581809 0.432727476350347 0.414218025937594 0.50538081410949 0.487395467507299 0.426693906882378 0.537135105514426 0.477084900805688 0.462305504368549 0.541829141597496 0.589342479302684 0.456901337809469 0.438076741733369 0.545905064372394 0.503969316391678 0.636731308855294 0.509019860198993 0.515421001972338 0.567362118592244 0.536379659945252 0.520238295284282 0.415854322144856 0.487784101089964 0.520606273128809 0.506673401913153 0.45254896760279 0.534010002160381 0.468122933834297 0.446450322509205 0.463726296719535 0.473991651935326 0.506740683215809 0.441511404937169 0.492381989818128 0.501077358895644 0.529915345755197 0.466181313778614 0.468609254098147 0.547971012748131 0.454458722596021 0.477191611627334 0.555642681382617 0.563693370319506 0.46785905736355 0.517093967435542 0.534268571046708 0.585670333092129 0.536474918657611 0.418049807431378 0.504739007257345 0.462260783112294 0.42010260997949 0.469893193148944 0.443966387678898 0.445169218541292 0.564328616101984 0.375300997519759 0.390090978418222 0.554476218257572 0.472195996995111 0.496170362600362 0.461214323460751 0.487439118361475 0.496383170681261 0.469842893399176 0.468437382033207 0.371060640101862 0.564470606000661 0.531524020180515 0.41603229819478 0.542386094746078 0.414504464803935 0.471407143900039 0.425060719428509 0.421614208571445 0.437349107086495 0.475591535152935 0.528406620979686 0.393490599913206 0.476003982312045 0.546415742037903 0.48616117801375 0.519034279486362 0.476486282516354 0.444293599060335 0.437442178152705 0.563230370597783 0.581198262353461 0.572436338417311 0.527022926790084 0.626828453024444 0.591613786464587 0.623289712496592 0.585919862525913 0.513366407639212 0.583320989700893 0.477425330429422 0.428051970217406 0.541211843415221 0.495728328108781 0.437650670389931 0.417633106572184 0.452639869998226 0.496107563023091 0.460627371429649 0.406409146863733 0.434888717841559 0.370144811489545
