Source,Target,Weight,Type
agnipurana_u,bhavisyapurana,2,undirected
agnipurana_u,garudapurana_khanda-1_u,20,undirected
agnipurana_u,matsyapurana_adhyaya-1-176_pu,2,undirected
agnipurana_u,naradapurana_khanda-1_u,17,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,23,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,14,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,23,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,21,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,3,undirected
bhagavatapurana_skandha-04_u,mahabharata_03-aranyakaparvan,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,7,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,12,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,20,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-06_u,matsyapurana_adhyaya-1-176_pu,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,12,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,20,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,10,undirected
bhagavatapurana_skandha-08_u,matsyapurana_adhyaya-1-176_pu,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-09_u,brahmandapurana_khanda-2_u,10,undirected
bhagavatapurana_skandha-09_u,matsyapurana_adhyaya-1-176_pu,5,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,7,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,brahmapurana_pu,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,21,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,10,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,7,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,5,undirected
