"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.52697425125004 0.546071430922729 0.535023929131245 0.546169068953556 0.541622259299928 0.567481772712542 0.586866998320486 0.570513110076762 0.559280957118616 0.6196842842708 0.562942477348526 0.554405471629979 0.454095947194866 0.338120416869575 0.438150802554664 0.395919248253653 0.362374785050191 0.357620512617222 0.381043123402309 0.480181653715408 0.418616079455555 0.347654829575339 0.229495240381511 0.382920010123679 0.475441936088667 0.410243476257985 0.500918041639416 0.461370399218335 0.475986250981981 0.436129837187613 0.420079928836729 0.579864735109527 0.476599080652961 0.539450913333303 0.405161348641588 0.420710028182596 0.513694374743224 0.461271584385149 0.48387996160735 0.397184338904976 0.391964375382863 0.354893510285854 0.308562573194521 0.4981257735835 0.471014586851006 0.471725230476958 0.491614281517428 0.501350894758396 0.478642532759133 0.454496714991036 0.464540702512127 0.486471572933675 0.466152452329226 0.4676188637533 0.47837303405496 0.49448537184648 0.486542117301746 0.443584164402067 0.441134880379897 0.417833000315718 0.459362432929067 0.470288246326418 0.527118478241982 0.535601678477779 0.570380303221645 0.521027936710455 0.435850441973581 0.500361187433236 0.540198305978344 0.464029685269897 0.325661004807406 0.279939938846236 0.49409803293042 0.409675509868966 0.459750189490721 0.484167488663985 0.573780861317297 0.514652591682508 0.500399997977239 0.523866920064264 0.488048284848458 0.545564623837633 0.502077862329684 0.53431524871457 0.441472040912939 0.536711919958752 0.424628501121468 0.443301903044623 0.494245986139422 0.516337941482541 0.431096814411892 0.566065459364616 0.387439446884599 0.375723278026469 0.346752176412646 0.469890339657703 0.511553563077808 0.388354064139574 0.45416037633263 0.492811138887102 0.427263881437324 0.466132444775609 0.477853373525092 0.458643016267432 0.443455478374538 0.445864941431323 0.467668764486889 0.463620287406535 0.47564599691762 0.430821789262882 0.486773036893628 0.454136684617291 0.471909709455097 0.43639317254609 0.387429331496813 0.479127219872735 0.414951763146393 0.420470907647843 0.505276143791607 0.45142159223836 0.410050627397661 0.380695724027278 0.510286796406769 0.527080864219692 0.484482119607689 0.430300705017503
"bhagavatapurana_skandha-01_u" 0.52697425125004 0 0.344406935461249 0.298720178920316 0.243301372280346 0.37467296630328 0.320110484424273 0.332612995931773 0.324093858331186 0.349240685112955 0.543372463924812 0.279187377809524 0.355751024830636 0.327788683724644 0.460652256346643 0.588090140054247 0.498727660422022 0.515241384315061 0.520209258980489 0.452144024447892 0.505441364907359 0.424113792524161 0.512724159661855 0.540796905222154 0.454310133389793 0.575591263193768 0.473113388658537 0.451862473935885 0.491295357103798 0.559983466072785 0.455455585804806 0.452560181333812 0.569456923270196 0.558391175916344 0.64641461232021 0.550478889672678 0.54436199467687 0.608008943776654 0.57830186267202 0.578879784404752 0.44821495984121 0.487464516031146 0.549875970632581 0.53846260892452 0.438568557509228 0.542573693206396 0.427818162585583 0.418029261302621 0.40692982927907 0.419235476957913 0.46219800733106 0.468894756557729 0.453286490990416 0.429713936347607 0.498696804341107 0.456550831414267 0.404678594234872 0.503061023923389 0.425389272675439 0.457845178503122 0.511116848095359 0.548111086883425 0.451234257621298 0.503157298655313 0.5594255402472 0.572178474575265 0.514546389508886 0.441366378158547 0.508794076258748 0.48935774405158 0.442372618663528 0.468214367113137 0.461707493582596 0.422462321966618 0.570394233199569 0.417881179641559 0.406475292722563 0.58092010568199 0.495066496498015 0.457595397269538 0.440311247557695 0.462827673397431 0.471336749823713 0.440763092727421 0.449046608226353 0.427114297554598 0.552959219620419 0.505367990414738 0.424100283588589 0.521691026301892 0.44387773736572 0.474938760424213 0.437288155041514 0.457313788216714 0.459586154915662 0.508045749367235 0.520251264740023 0.418812439208227 0.459060869400273 0.561260026217581 0.524433136603727 0.492714362049671 0.465581706562222 0.497330430262 0.472239215827486 0.582314438614876 0.592178126196467 0.605595220079523 0.565751453529592 0.647747614139092 0.600861605931022 0.639420952733588 0.594116958029216 0.57792259106256 0.590054867893433 0.488060022420894 0.445533564469851 0.558572163377001 0.461394853458578 0.478368094973573 0.470906926702663 0.471019124664216 0.523846351896926 0.553863374403402 0.430149192069453 0.459106176339895 0.429812100484991
"bhagavatapurana_skandha-02_u" 0.546071430922729 0.344406935461249 0 0.333055254665102 0.348639996980615 0.401560931330277 0.381883395500249 0.377726510937874 0.416722427418944 0.406075828555192 0.533478697088326 0.387225015456462 0.32454916102892 0.389265362927386 0.486980957264741 0.618138805047866 0.553634276684907 0.533356923959355 0.556813454651327 0.508611871428755 0.494823058247345 0.464427554358284 0.516372352524163 0.542395621129376 0.456827114984633 0.571889785460274 0.55577427105989 0.521918708345067 0.579368954393083 0.636171329972149 0.546676581844915 0.503018546008162 0.547823712697954 0.6262581742937 0.681681840871276 0.601155908805689 0.581302749693455 0.633917325068841 0.601332186829427 0.625264886675469 0.507878009679103 0.495590550843118 0.57608436673948 0.559686614272445 0.521600217090991 0.616454354185666 0.521486256507772 0.511922868336546 0.503426023881595 0.498697450990738 0.557069557757275 0.55974116798672 0.541931653178657 0.546341767816275 0.599284571462813 0.513109780145871 0.510623744191735 0.528250755060884 0.495696396648792 0.508332619331429 0.520531410659049 0.566407098980147 0.520706118911672 0.576768831955466 0.602863898419459 0.607268775937207 0.563326325500998 0.486836903649636 0.573020197529551 0.512424704550429 0.486688503578066 0.519766519824432 0.47190085029088 0.420560176901788 0.625264107608464 0.475087065618303 0.46745523494381 0.580091772221026 0.561485840721936 0.531149360850648 0.518733025364357 0.53738185347123 0.535384255124778 0.550394817347207 0.551879934845171 0.432284191210844 0.561249159490197 0.515239221419047 0.47766339407361 0.553781169096607 0.496112457248648 0.514544033426156 0.496853262815648 0.474882219130021 0.495517586564292 0.523911732128278 0.597364755131398 0.417642363386108 0.505787909848984 0.553952184698322 0.587216160494541 0.539260485776678 0.552896646837606 0.516670422367284 0.538651310327004 0.621106654110407 0.616136130408098 0.597276126497243 0.592923581612652 0.659637151091702 0.634077362254075 0.660933394593342 0.616014025838659 0.634736469044633 0.61103917956206 0.514619549384633 0.485140171543211 0.598446932948088 0.466975062676434 0.534057448460511 0.509855993835398 0.495711739779013 0.51307297924934 0.579379850672194 0.501016792576778 0.469364641338447 0.476213912461813
"bhagavatapurana_skandha-03_u" 0.535023929131245 0.298720178920316 0.333055254665102 0 0.247145747276491 0.373983114584732 0.337852013572723 0.338577431451351 0.348243742938028 0.351491659687683 0.526114601347291 0.290409267858097 0.36726763705081 0.358072510444796 0.4521097567148 0.58170965993754 0.489741739951365 0.506014186106025 0.504072256837479 0.477254707866992 0.517174489730795 0.458355650936813 0.485239290301981 0.532576545485787 0.474420434837453 0.579774967568792 0.480731831149819 0.484622750312581 0.526078593512269 0.575632642668285 0.464687578274977 0.460497238024366 0.567552927150428 0.573128346537591 0.637165982871494 0.545162104911476 0.526771180767666 0.587097648619712 0.57530081463862 0.55944024143933 0.456714369699415 0.500038171404547 0.542007182608348 0.54473266493628 0.493273101700641 0.541849823199057 0.489476624105743 0.474401789982916 0.468672084073767 0.46202652543918 0.507935196407416 0.503629459414704 0.493471812246245 0.480488160725756 0.541682778206639 0.484594105151026 0.471382135108949 0.538081773241736 0.463043232873132 0.480260006066266 0.514967636533679 0.58122846755916 0.492618952049374 0.547070095869687 0.577381002512125 0.598622327895657 0.545507110233523 0.473279904864403 0.513187457784969 0.500009557997955 0.46317121216403 0.483284638243168 0.456649246529984 0.431413202044658 0.589096818871556 0.416889487184242 0.428815391226172 0.56393700105916 0.516291675146159 0.496171433597208 0.483447018148933 0.51607423402921 0.523203716832266 0.487000442630629 0.49803896236 0.42601758534116 0.566415053006863 0.544461587837462 0.432891340702365 0.564830678827588 0.440800272246381 0.480928172777445 0.451548087949344 0.447266520981074 0.481088673284919 0.525533044607501 0.548286549201001 0.426763280004796 0.488532272686815 0.5750901792643 0.536409134838464 0.514083689257703 0.485450885292186 0.485375628266013 0.468071001409265 0.579275562020054 0.571524213208353 0.601919242509532 0.561583229703921 0.65145951641318 0.602869013249764 0.635692782935883 0.588182659668361 0.581842492320947 0.575704374434619 0.494241546332344 0.477353695614969 0.558022228971225 0.445325013489929 0.515715983380414 0.457823841922893 0.493985234811098 0.525018865795525 0.558903240343055 0.436574352457855 0.476540770117921 0.448805285370347
"bhagavatapurana_skandha-04_u" 0.546169068953556 0.243301372280346 0.348639996980615 0.247145747276491 0 0.347475636345798 0.323293433539316 0.314357143592106 0.314934260547435 0.337805584156463 0.509611612491816 0.27046973997387 0.350618847447445 0.370092199796317 0.459828734877357 0.602955922624149 0.501394711375363 0.525854716440352 0.525655338525429 0.457198083112699 0.505552467276518 0.444834970605023 0.496779552608822 0.554560207617912 0.457106421491587 0.57111362769938 0.485957537138125 0.483053857622535 0.531317518572232 0.573759634234541 0.46249277340224 0.475756038048444 0.564486023607792 0.560540550598703 0.658453740560912 0.550122778638138 0.559651232241403 0.616930658721098 0.585830025172577 0.570215200356658 0.450172051161643 0.505631156209523 0.552473990169304 0.545368330462903 0.483264892492015 0.557374332029553 0.468620896669163 0.457588088279336 0.458466492791507 0.451417665073005 0.496365523572664 0.494849164800383 0.474182380525798 0.471714122640172 0.533835493200727 0.471689454291972 0.433465962466333 0.525107385279373 0.44631992546206 0.47532764775707 0.507869672404544 0.568966901971258 0.49062820602152 0.54285530387036 0.589723974519805 0.603685184481862 0.535314466442314 0.470957733762707 0.528251873833672 0.497567899313852 0.460844994118876 0.485942665849174 0.456646396778911 0.405591554592411 0.582869560300612 0.424997699230392 0.422083549332254 0.563668518789069 0.502277661745855 0.479323482261149 0.45124616626154 0.475246692714436 0.484706796371714 0.450433623343159 0.471783086980504 0.41755031543174 0.535190647662467 0.4941946208288 0.409361624275798 0.548400805166321 0.458675813886392 0.480026997538962 0.466388618026121 0.443927646170038 0.470017244155584 0.520867081307867 0.542535497090584 0.396048550295443 0.487271890898304 0.562339380387462 0.546147219553961 0.50389987336069 0.476571592887226 0.491291210491079 0.467472073589163 0.588042711007908 0.606082146642092 0.609931419514706 0.58227889311062 0.654934867776756 0.615555672157476 0.647314805271976 0.595733522516052 0.581908885597765 0.594658325815938 0.497388682150648 0.477870290662741 0.562944048229932 0.435306837723881 0.536991471768787 0.470674782416643 0.508109147541053 0.522386486628245 0.565866192669105 0.472913877214511 0.480677925451307 0.449993990549596
"bhagavatapurana_skandha-05_u" 0.541622259299928 0.37467296630328 0.401560931330277 0.373983114584732 0.347475636345798 0 0.355112519087837 0.386386848685621 0.43482238627643 0.391196918108404 0.478815865036779 0.365494862652273 0.388958074817558 0.348002216323805 0.43520113359361 0.590678784083874 0.510394085581089 0.49023491927153 0.514233729492357 0.495797062279129 0.484025155389839 0.479592134364714 0.489486472792446 0.507992333150103 0.463340994322164 0.548537234424077 0.536347692667455 0.482557816079215 0.577721371531771 0.61984153296271 0.51597746595468 0.479243396507425 0.533544362397465 0.586531871596614 0.656190359343109 0.564435073200881 0.59206315567231 0.609073971345676 0.581680834841022 0.610591415545396 0.475391437213701 0.502483240047105 0.522128667973116 0.484235377402307 0.525757294147164 0.599338709430864 0.527652569864492 0.508900394556691 0.528200684838104 0.501290841851936 0.55362043629463 0.528148825192676 0.555008633793737 0.545652810714857 0.572897779440506 0.539642358065719 0.501281627865225 0.518321243749866 0.49378974397286 0.525691990309557 0.547955667868772 0.596361568738996 0.526397302663517 0.566387052293029 0.600368886160132 0.633121779741314 0.578540580966317 0.478957791377281 0.546398639707199 0.53465747441458 0.48099149492053 0.48893131954849 0.437759156992769 0.489087976428947 0.609794398901265 0.448838194592102 0.437196310680223 0.510934735634351 0.566163200922521 0.544666118884174 0.543945568834797 0.565927835063502 0.572897200930012 0.556989763066652 0.552242106986953 0.395975655516474 0.573593017133976 0.539628100408506 0.454664484685274 0.597109287317985 0.47403578339565 0.466930546104348 0.485032668238564 0.456452502241835 0.450939297510161 0.447879577015405 0.58260293084746 0.39897553879519 0.504498622383638 0.51631241107101 0.565841940865915 0.535755719571472 0.521120299443385 0.525206402144148 0.510431048831093 0.587974175509821 0.613252997499706 0.569819646200419 0.554249637635288 0.634062926348977 0.611050632054814 0.632093915071765 0.57036051936108 0.588897384615155 0.588813157382699 0.509679405349959 0.490661458065798 0.555304286504763 0.501766236888016 0.528259112708156 0.510049189542526 0.48522631560717 0.506241170971943 0.52056644425558 0.493008029371292 0.490129905851803 0.445924917247689
"bhagavatapurana_skandha-06_u" 0.567481772712542 0.320110484424273 0.381883395500249 0.337852013572723 0.323293433539316 0.355112519087837 0 0.228870034698556 0.274265905773262 0.338512746398176 0.530994838377284 0.279992268876958 0.27315640929029 0.344072370275648 0.454252360120544 0.580576019534215 0.476945870327994 0.502445183983416 0.4952251874182 0.454736513752837 0.476062415485361 0.427864803004522 0.515451675440411 0.53162172212458 0.403931580285219 0.533164567787282 0.490421948043956 0.472013755337527 0.53040228385956 0.594431253633241 0.475556210854606 0.46371775617756 0.539529310451767 0.559385973030227 0.634934703928684 0.543085993446805 0.561529733514153 0.602444156726437 0.586317415352437 0.560136336668213 0.466021198471445 0.471193837740842 0.528442971918702 0.543159040790347 0.430887441084137 0.560681431275958 0.41301715135864 0.412072022956413 0.411930731446934 0.39666248024689 0.508569304990109 0.480367586004976 0.494251636183581 0.4926380572139 0.529822060434723 0.448343783261554 0.424635447247554 0.482054331150072 0.390962476323185 0.419860790043185 0.508813109214283 0.525563924149977 0.444531875438163 0.509658801877604 0.553241031760001 0.550530138020564 0.519268088438031 0.445821142443238 0.496863220360441 0.463843016711906 0.429316990808291 0.469909248136444 0.47896700360815 0.406502644703027 0.568516810946904 0.411887982071406 0.409566154810581 0.599176476536653 0.486884480770418 0.475902285397616 0.497156972687549 0.478734708794142 0.496112534918433 0.493325709584459 0.469146237991052 0.389525417559996 0.563953972382949 0.533564271662718 0.445248643974259 0.517517602940322 0.430425839661531 0.485369156501366 0.415491117335591 0.445542061816985 0.465679252506517 0.513248018056476 0.548430729434429 0.399488988007559 0.457531797296178 0.544582998097287 0.527374440926051 0.519456007932352 0.470050283215613 0.480559625211397 0.461044838788235 0.565688189876274 0.581995392206809 0.557625615911231 0.540539229850669 0.647590451666383 0.588736510569395 0.620468990825799 0.584938600446748 0.569699756955637 0.565788801171923 0.505562550416013 0.397508037325429 0.542246002974902 0.447676861548472 0.483939348946505 0.412842434520864 0.471945861320135 0.490665475838256 0.549246432995969 0.395659870383462 0.42900361367753 0.395494920350406
"bhagavatapurana_skandha-07_u" 0.586866998320486 0.332612995931773 0.377726510937874 0.338577431451351 0.314357143592106 0.386386848685621 0.228870034698556 0 0.275860610187947 0.341769074162951 0.526492103315708 0.258618001344642 0.271380774842987 0.371939369174305 0.501626378805603 0.625162725770817 0.544245232659166 0.535492042271121 0.552290678201933 0.515548233272142 0.495269964543901 0.458522870696818 0.536497920215598 0.565310866153924 0.450243746064074 0.552155701581 0.536473435886328 0.510303929712743 0.596194689960367 0.634280178362546 0.541467113800976 0.519485278013078 0.536893355754566 0.616640318500886 0.682639593584025 0.601028429825912 0.59392399383088 0.651886275036018 0.619611163732964 0.620216297137512 0.516970776597746 0.524278251689977 0.570038120271317 0.556841484530955 0.493716833739184 0.616993192174017 0.473551944538923 0.485071267370795 0.474144602529051 0.46604587699491 0.56291705742979 0.523183005370985 0.548528111035043 0.547048243140704 0.600317212680696 0.498785491802338 0.465663623948506 0.542296609734247 0.445143347947547 0.474371759874332 0.534069218245196 0.571454527553257 0.499465683883073 0.569093798715084 0.621453098266756 0.587269664612929 0.558275539428951 0.493708520311974 0.544729299379655 0.522302157147184 0.486722069369531 0.529091006102923 0.510210488625193 0.44877510084343 0.603950280935825 0.46813007810119 0.455949070084317 0.58319082300175 0.564754811191607 0.520699479231318 0.527986568977465 0.533116537519674 0.537855401685122 0.540074345355054 0.540647872199028 0.437615173189183 0.611916017845374 0.543067114065196 0.486798301118509 0.568431821779374 0.476637830436536 0.528759815545737 0.459771942271503 0.473842769804069 0.51739067799991 0.525649142276436 0.553257630946176 0.439642818969896 0.508119702841619 0.564436886960133 0.572280657965772 0.549805562536288 0.537250672420979 0.532382500211955 0.530360664278162 0.62282414587088 0.632540663135214 0.607437081145628 0.599638044423597 0.674884985206904 0.643608535111626 0.667520214066572 0.611206874894751 0.626036204151599 0.626140935699361 0.533668256555017 0.451292051227667 0.601776597160936 0.482006529391719 0.514465165213158 0.453791452179073 0.512612248408157 0.527200270047915 0.586326091648532 0.437488241360271 0.469096048109329 0.440645945542356
"bhagavatapurana_skandha-08_u" 0.570513110076762 0.324093858331186 0.416722427418944 0.348243742938028 0.314934260547435 0.43482238627643 0.274265905773262 0.275860610187947 0 0.325577068045352 0.565245081931862 0.245715610402326 0.353688541028115 0.379668886086154 0.453415437947665 0.598545937198567 0.48817449865309 0.501657715290438 0.517649488018123 0.438723941374436 0.486698828949877 0.415733873475193 0.500493803393998 0.547089901041986 0.442276154192038 0.562154256749049 0.471740458189638 0.457937600618845 0.530105392292557 0.556737400607344 0.451481854608107 0.470490458802226 0.536800135937178 0.554963458693933 0.6497219664509 0.546887312697015 0.560794816675937 0.619652241437326 0.579058436991216 0.555032991752328 0.419167503791068 0.511927039626189 0.530144174662127 0.536145842602818 0.41896903457782 0.533158704191648 0.438959534158347 0.406898941605128 0.43524203871395 0.457530541359446 0.485706612132565 0.455686497506793 0.479608348669253 0.488672411774548 0.531323115853481 0.446235118971093 0.44439471154377 0.536540456792468 0.450112515401068 0.448443193055667 0.528114161285172 0.584593799417162 0.449068605205061 0.510168598732945 0.560006023956139 0.578647394351413 0.515447982710027 0.45640483737931 0.463449453006737 0.448172118391535 0.426168942967692 0.484330219974845 0.496713507445248 0.45320003899181 0.547959384643452 0.387214025041704 0.381329273926681 0.584871250629293 0.486985661165205 0.480259692238322 0.458288199386688 0.486814890719161 0.498831829459926 0.460972354442577 0.461609512036026 0.388066500545855 0.574875404891837 0.529781235626509 0.433301897019423 0.492399426239519 0.411696575555866 0.453219119900568 0.395332085163591 0.448953662236707 0.479545829554334 0.534108674635819 0.515587442865104 0.417823989497982 0.438904044552356 0.558935250148148 0.484459468262233 0.518624776260707 0.455649261183556 0.435887577983459 0.448865555228412 0.588474164302592 0.609379052522031 0.614793479712492 0.556315495335395 0.646948624359797 0.616079804453318 0.640863914943694 0.599556175282047 0.572575381357151 0.601215104819484 0.518728066418094 0.38460105549277 0.560976491217657 0.470496660544991 0.466452153556773 0.366772161413752 0.493282421656254 0.527625622786641 0.566312332636204 0.344506798952741 0.421718361807368 0.394262292834489
"bhagavatapurana_skandha-09_u" 0.559280957118616 0.349240685112955 0.406075828555192 0.351491659687683 0.337805584156463 0.391196918108404 0.338512746398176 0.341769074162951 0.325577068045352 0 0.55991524713819 0.283732758074404 0.407509233450361 0.313304414945526 0.433145328897198 0.573639673118491 0.45441690239728 0.490218672638072 0.489008519884951 0.442909044590638 0.471903702693402 0.430211156975556 0.527357148196769 0.52033387372437 0.440311511578096 0.552685406280425 0.485927318279306 0.477064342829407 0.544293662138944 0.586466110475393 0.455255729235618 0.450165311759645 0.564878667950352 0.504363395143499 0.631045415515318 0.506159051635807 0.530816083917154 0.577890688758523 0.542100416104553 0.523042855433217 0.429247625508055 0.501546093344436 0.531527430356061 0.522038384182212 0.453891970762239 0.534817415217191 0.473838231308868 0.448238391364348 0.463452940590888 0.476429115878199 0.503749312675692 0.44161255617171 0.488149117657659 0.496871430389345 0.525823077456067 0.471253711451101 0.471994632421474 0.556881706796989 0.456467415794173 0.484906149129262 0.562409483240973 0.567705387884908 0.470381855855484 0.532381354888941 0.536835446190251 0.600856876686096 0.549728595621354 0.433373760485868 0.51705009099213 0.480479972509591 0.436660736223616 0.471586619922968 0.4641862160085 0.461600851919274 0.565480863057795 0.389447734082639 0.40990421181114 0.588193946775136 0.484448064149953 0.5037760103176 0.472242261765664 0.496117881638271 0.502548555428434 0.477319213716293 0.476492022429241 0.39118422935694 0.593754735027368 0.544832317229735 0.432377230503703 0.553152539855767 0.434983934211861 0.490378116278267 0.436231466338416 0.432675332931194 0.453592585042125 0.507085685007953 0.548430394782436 0.415144153781614 0.481651826018016 0.579376366011824 0.510847098165164 0.53302662287002 0.486705531593505 0.465100825886308 0.449662555165438 0.558751827910608 0.58761071765394 0.585584484222102 0.541952153903571 0.631181063556313 0.592220945069907 0.618864978136633 0.594560046796353 0.515312538346079 0.584329119632891 0.496533172437648 0.441088416263722 0.541266638595354 0.513966857952534 0.468715732827309 0.438862380411834 0.473166766310837 0.514601209339249 0.469994220580219 0.423731965421253 0.464259443929391 0.391886028955465
